model,condition,variant,n_runs,n_seeds,auroc_above_half,auroc_below_half,auroc_equal_half,auroc_mean,auroc_std,ap_mean,ap_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,accuracy_mean,accuracy_std,best_val_auroc_mean,best_val_auroc_std,tp_mean,fp_mean,tn_mean,fn_mean,n_mean,n_pos_mean,delta_auroc_mean
finbert,scripted,lowlr,10,10,0,10,0,0.30202020202020197,0.07441001264140751,0.3108112798920025,0.025747700136006954,0.2316773601527829,0.11859836956209749,0.22485930735930734,0.08056507582632787,0.2545454545454545,0.1808052592748642,0.4241379310344827,0.03998282099063469,0.6525000000000001,0.05271780217978238,2.8,8.5,9.5,8.2,29.0,11.0,-0.19797979797979803
finbert,scripted,frozen,10,10,0,10,0,0.22803030303030297,0.05686710700650011,0.2864222520112808,0.014595781527898203,0.1652276808159161,0.15101332071023318,0.1662792642140468,0.12350160566254599,0.1909090909090909,0.2119046513581465,0.43103448275862066,0.12191496227354268,0.6692500000000001,0.029393168140459662,2.1,7.6,10.4,8.9,29.0,11.0,-0.27196969696969703
longformer,full,trunc-head,3,3,1,2,0,0.48569023569023567,0.1684616634161856,0.47578959749109967,0.052576203774906786,0.0,0.0,0.0,0.0,0.0,0.0,0.6206896551724138,0.0,0.5216666666666666,0.09305016568138573,0.0,0.0,18.0,11.0,29.0,11.0,-0.014309764309764328
longformer,full,trunc-middle,3,3,1,2,0,0.4158249158249158,0.08792570054760672,0.3576248219147871,0.03594670902740937,0.15288220551378442,0.1581332486651364,0.23611111111111108,0.20553678592984365,0.1212121212121212,0.13886593015017695,0.5862068965517241,0.03448275862068967,0.5591666666666666,0.007216878364870329,1.3333333333333333,2.3333333333333335,15.666666666666666,9.666666666666666,29.0,11.0,-0.08417508417508418
longformer,full,lowlr,3,3,2,1,0,0.5345117845117845,0.05682285801931872,0.46683281908439705,0.0657512017509337,0.0,0.0,0.0,0.0,0.0,0.0,0.6206896551724138,0.0,0.7008333333333333,0.22020350436206362,0.0,0.0,18.0,11.0,29.0,11.0,0.03451178451178449
longformer,full,frozen,3,3,1,2,0,0.48316498316498313,0.0860564169638522,0.45880052157020623,0.10756082214993329,0.0,0.0,0.0,0.0,0.0,0.0,0.6091954022988505,0.0199086299720561,0.6283333333333334,0.05501893613414687,0.0,0.3333333333333333,17.666666666666668,11.0,29.0,11.0,-0.01683501683501687
longformer,qa,trunc-head,3,3,1,2,0,0.4489583333333333,0.04983697380794034,0.4021010410684323,0.024263726619489164,0.039215686274509796,0.06792356108113244,0.047619047619047596,0.08247860988423222,0.03333333333333333,0.05773502691896259,0.5512820512820513,0.11102889792108189,0.7574074074074075,0.1033890729793175,0.3333333333333333,2.0,14.0,9.666666666666666,26.0,10.0,-0.05104166666666671
longformer,qa,trunc-middle,3,3,2,1,0,0.55625,0.09762812094883319,0.5630870412223892,0.10978034425572795,0.3326432022084196,0.28897628788097907,0.30536130536130535,0.26447376173388415,0.3666666666666667,0.32145502536643183,0.5897435897435898,0.022205779584216424,0.8092592592592593,0.07034599967860211,3.6666666666666665,4.333333333333333,11.666666666666666,6.333333333333333,26.0,10.0,0.05625000000000002
longformer,qa,lowlr,3,3,0,3,0,0.3708333333333333,0.06070334285138946,0.3693328828321088,0.034974904055914594,0.0,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,0.0,0.7416666666666667,0.09658521472618731,0.0,0.0,16.0,10.0,26.0,10.0,-0.1291666666666667
longformer,qa,frozen,3,3,0,3,0,0.4020833333333333,0.05388548815157313,0.4613992728715773,0.12060393030096489,0.0606060606060606,0.10497277621629558,0.3333333333333333,0.5773502691896258,0.03333333333333333,0.05773502691896259,0.6282051282051282,0.02220577958421636,0.6240740740740741,0.10131593011700209,0.3333333333333333,0.0,16.0,9.666666666666666,26.0,10.0,-0.09791666666666671
longformer,scripted,trunc-head,3,3,3,0,0,0.595959595959596,0.0745270432493621,0.5019935091282438,0.04413927345958199,0.0,0.0,0.0,0.0,0.0,0.0,0.6206896551724138,0.0,0.6383333333333333,0.10251016209787851,0.0,0.0,18.0,11.0,29.0,11.0,0.09595959595959602
longformer,scripted,trunc-middle,3,3,1,2,0,0.4343434343434343,0.10279359816690714,0.3890867507974307,0.05608798223759738,0.0,0.0,0.0,0.0,0.0,0.0,0.6206896551724138,0.0,0.6316666666666667,0.146401275039985,0.0,0.0,18.0,11.0,29.0,11.0,-0.06565656565656569
longformer,scripted,lowlr,3,3,2,1,0,0.49831649831649827,0.10815433793206092,0.41150924818027934,0.05700300962101945,0.0,0.0,0.0,0.0,0.0,0.0,0.6206896551724138,0.0,0.6475,0.11573136999102705,0.0,0.0,18.0,11.0,29.0,11.0,-0.0016835016835017313
longformer,scripted,frozen,3,3,1,2,0,0.5,0.034990925405431896,0.40927988724925984,0.03513059449351411,0.0,0.0,0.0,0.0,0.0,0.0,0.6091954022988505,0.0199086299720561,0.7050000000000001,0.018027756377319962,0.0,0.3333333333333333,17.666666666666668,11.0,29.0,11.0,0.0
